Player,Surface,ELO
Henner Henkel,Clay,1716.0093431110065
Pascal Merlin,Clay,1473.6135467546126
Andre Bacquart,Clay,1481.9054818057364
Pierre Geelhand De Merxem,Clay,1441.6295983753387
Willie Muir,Clay,1484.0969510612324
Jiro Yamagishi,Clay,1499.6201257945522
Max Bertram,Clay,1500.0595758258808
Douglas G Freshwater,Clay,1509.6860682915062
Yvon Francois Marie Petra,Clay,1641.7881980190868
Raymond Tuckey,Clay,1543.3133597380804
Pierre Pellizza,Clay,1585.5722635049706
Roland Longtin,Clay,1484.0
Hideo Nishimura,Clay,1540.7846816867986
Colin Robertson,Clay,1516.0550888394275
Jacques Sanglier,Clay,1475.092643165573
Dennis J Cook,Clay,1483.2771286999941
Didi Teschmacher,Clay,1468.868700862295
Louis Chevalier,Clay,1392.3930693443153
Jacques Van Den Eynde,Clay,1451.5343738961715
M Ferenczy,Clay,1484.4704244735228
M Lorewski,Clay,1492.7700993219426
Arturo Randin,Clay,1483.3176345740465
Daniel Hernandez,Clay,1425.464888876947
Jose Aguero,Clay,1474.6724947278854
Joffre Etcheverry,Clay,1484.0854709237788
Lorenzo Nodarse,Clay,1484.736306793522
Bryan Grant,Clay,1587.2915076218155
Kie Kho Sin,Clay,1541.8844819163764
Don Budge,Clay,1682.6289941045118
Diederik Teschmacher,Clay,1454.3661061199316
Guy Cheng,Clay,1450.4049794998962
Gene Mako,Clay,1485.2472298892696
Lazaros Stalios,Clay,1512.2280536104452
Kay Lund,Clay,1497.88561470349
L Wait,Clay,1487.4528295549196
